,Time,INIT_ERAB_SR
623,2022/06/26 23:00,99.91
624,2022/06/27 00:00,99.95
625,2022/06/27 01:00,99.96
626,2022/06/27 02:00,99.96
627,2022/06/27 03:00,99.96
628,2022/06/27 04:00,99.48
629,2022/06/27 05:00,99.8
630,2022/06/27 06:00,99.85
631,2022/06/27 07:00,99.82
632,2022/06/27 08:00,99.88
633,2022/06/27 09:00,99.85
634,2022/06/27 10:00,99.89
635,2022/06/27 11:00,99.87
636,2022/06/27 12:00,99.87
637,2022/06/27 13:00,99.88
638,2022/06/27 14:00,99.85
639,2022/06/27 15:00,99.86
640,2022/06/27 16:00,99.89
641,2022/06/27 17:00,99.88
642,2022/06/27 18:00,99.89
643,2022/06/27 19:00,99.87
644,2022/06/27 20:00,99.88
645,2022/06/27 21:00,99.92
646,2022/06/27 22:00,99.66
647,2022/06/27 23:00,99.89
648,2022/06/28 00:00,99.23
649,2022/06/28 01:00,99.86
650,2022/06/28 02:00,99.94
651,2022/06/28 03:00,99.95
652,2022/06/28 04:00,99.94
653,2022/06/28 05:00,99.91
654,2022/06/28 06:00,99.75
655,2022/06/28 07:00,99.8
656,2022/06/28 08:00,99.91
657,2022/06/28 09:00,99.75
658,2022/06/28 10:00,99.79
659,2022/06/28 11:00,99.9
660,2022/06/28 12:00,99.92
661,2022/06/28 13:00,99.75
662,2022/06/28 14:00,99.88
663,2022/06/28 15:00,99.92
664,2022/06/28 16:00,99.92
665,2022/06/28 17:00,99.92
666,2022/06/28 18:00,99.86
667,2022/06/28 19:00,99.86
668,2022/06/28 20:00,99.72
669,2022/06/28 21:00,99.78
670,2022/06/28 22:00,99.93
671,2022/06/28 23:00,99.92
672,2022/06/29 00:00,99.9
673,2022/06/29 01:00,99.94
674,2022/06/29 02:00,99.93
675,2022/06/29 03:00,99.95
676,2022/06/29 04:00,99.94
677,2022/06/29 05:00,99.93
678,2022/06/29 06:00,99.92
679,2022/06/29 07:00,99.93
680,2022/06/29 08:00,99.92
681,2022/06/29 09:00,99.91
682,2022/06/29 10:00,99.89
683,2022/06/29 11:00,99.93
684,2022/06/29 12:00,99.89
685,2022/06/29 13:00,99.89
686,2022/06/29 14:00,99.85
687,2022/06/29 15:00,99.9
688,2022/06/29 16:00,99.84
689,2022/06/29 17:00,99.84
690,2022/06/29 18:00,99.87
691,2022/06/29 19:00,99.91
692,2022/06/29 20:00,99.84
693,2022/06/29 21:00,99.46
694,2022/06/29 22:00,99.77
695,2022/06/29 23:00,99.75
696,2022/06/30 00:00,99.82
697,2022/06/30 01:00,99.66
698,2022/06/30 02:00,99.74
699,2022/06/30 03:00,99.75
700,2022/06/30 04:00,99.66
701,2022/06/30 05:00,99.73
702,2022/06/30 06:00,99.68
703,2022/06/30 07:00,99.9
704,2022/06/30 08:00,99.87
705,2022/06/30 09:00,99.91
706,2022/06/30 10:00,99.83
707,2022/06/30 11:00,99.91
708,2022/06/30 12:00,99.87
709,2022/06/30 13:00,99.91
710,2022/06/30 14:00,99.9
711,2022/06/30 15:00,99.91
712,2022/06/30 16:00,99.79
713,2022/06/30 17:00,99.87
714,2022/06/30 18:00,99.88
715,2022/06/30 19:00,99.86
716,2022/06/30 20:00,99.48
717,2022/06/30 21:00,99.56
718,2022/06/30 22:00,99.85
719,2022/06/30 23:00,99.75
720,2022/07/01 00:00,99.58
721,2022/07/01 01:00,99.59
722,2022/07/01 02:00,99.44
723,2022/07/01 03:00,99.17
724,2022/07/01 04:00,99.31
725,2022/07/01 05:00,99.49
726,2022/07/01 06:00,99.6
727,2022/07/01 07:00,99.87
728,2022/07/01 08:00,99.9
729,2022/07/01 09:00,99.91
730,2022/07/01 10:00,99.9
731,2022/07/01 11:00,99.91
732,2022/07/01 12:00,99.92
733,2022/07/01 13:00,99.91
734,2022/07/01 14:00,99.92
735,2022/07/01 15:00,99.92
736,2022/07/01 16:00,99.92
737,2022/07/01 17:00,99.92
738,2022/07/01 18:00,99.94
739,2022/07/01 19:00,99.94
740,2022/07/01 20:00,99.8
741,2022/07/01 21:00,99.9
742,2022/07/01 22:00,99.93
743,2022/07/01 23:00,99.75
744,2022/07/02 00:00,99.82
745,2022/07/02 01:00,99.94
746,2022/07/02 02:00,99.93
747,2022/07/02 03:00,99.95
748,2022/07/02 04:00,99.95
749,2022/07/02 05:00,99.95
750,2022/07/02 06:00,99.94
751,2022/07/02 07:00,99.92
752,2022/07/02 08:00,99.91
753,2022/07/02 09:00,99.73
754,2022/07/02 10:00,99.78
755,2022/07/02 11:00,99.47
756,2022/07/02 12:00,99.48
757,2022/07/02 13:00,99.52
758,2022/07/02 14:00,99.84
759,2022/07/02 15:00,99.87
760,2022/07/02 16:00,99.81
761,2022/07/02 17:00,99.77
762,2022/07/02 18:00,99.58
763,2022/07/02 19:00,99.74
764,2022/07/02 20:00,99.84
765,2022/07/02 21:00,99.8
766,2022/07/02 22:00,99.92
767,2022/07/02 23:00,99.87
768,2022/07/03 00:00,99.67
769,2022/07/03 01:00,99.49
770,2022/07/03 02:00,99.69
771,2022/07/03 03:00,99.53
772,2022/07/03 04:00,99.1
773,2022/07/03 05:00,99.28
774,2022/07/03 06:00,99.5
775,2022/07/03 07:00,99.87
776,2022/07/03 08:00,99.93
777,2022/07/03 09:00,99.88
778,2022/07/03 10:00,99.62
779,2022/07/03 11:00,99.67
780,2022/07/03 12:00,99.73
781,2022/07/03 13:00,99.79
782,2022/07/03 14:00,99.9
783,2022/07/03 15:00,99.84
784,2022/07/03 16:00,99.79
785,2022/07/03 17:00,99.73
786,2022/07/03 18:00,99.81
787,2022/07/03 19:00,99.82
788,2022/07/03 20:00,99.74
789,2022/07/03 21:00,99.83
790,2022/07/03 22:00,99.89
791,2022/07/03 23:00,99.84
792,2022/07/04 00:00,99.82
793,2022/07/04 01:00,99.93
794,2022/07/04 02:00,99.95
795,2022/07/04 03:00,99.95
796,2022/07/04 04:00,99.96
797,2022/07/04 05:00,99.94
798,2022/07/04 06:00,99.92
799,2022/07/04 07:00,99.93
800,2022/07/04 08:00,99.92
801,2022/07/04 09:00,99.89
802,2022/07/04 10:00,99.79
803,2022/07/04 11:00,99.54
804,2022/07/04 12:00,99.68
805,2022/07/04 13:00,99.53
806,2022/07/04 14:00,99.81
807,2022/07/04 15:00,99.92
808,2022/07/04 16:00,99.54
809,2022/07/04 17:00,99.71
810,2022/07/04 18:00,99.84
811,2022/07/04 19:00,99.81
812,2022/07/04 20:00,99.75
813,2022/07/04 21:00,99.88
814,2022/07/04 22:00,99.9
815,2022/07/04 23:00,99.65
816,2022/07/05 00:00,99.91
817,2022/07/05 01:00,99.96
